Edad	Vivienda	Genero	Dependiente	Estado_Civil	Cargas	Egresos	Ingresos	Deuda	Dias_Atraso	Consumos_TC	Antiguedad	Score	Numero_TC	Antiguedad_TC	Cupo_TC	Comprometido	Cupo_Promedio
82	Otras	Masculino	No	Soltero	0	400	1000	48,98	0	2	82	939	1	0	56,21	0,07	56,21
57	Propia	Femenino	No	Soltero	0		292	4330,65	0	3	194	957	2	21	200	0,16	400
49	Sin Info	Masculino	No	Casado	1	400	25000	5200	0	12	37	600	1	0	3700	0,69	3700
22	Familiar	Masculino	No	Soltero	0		725	2267,89	0	1	2	965	2	0	1250	0,46	2500
19	Familiar	Masculino	No	Soltero	0		324	1270,92	0	1	1	917	2	0	700	0,34	1400
24	Propia	Masculino	No	Soltero	0	280	450	1950,44	0	1	17	30	2	0	1100	0,39	2200
19	Familiar	Masculino	No	Soltero	0	360	900	1543,74	0	1	1	874	2	0	900	0,23	1800
63	Propia	Femenino	No	Divorciado	0	860	3000	1200	13	10	103	941	1	0	1400	0,16	1400
53	Familiar	Masculino	No	Soltero	0	440	1100	1661,61	0	1	75	926	2	0	1050	0,22	2100
32	Familiar	Masculino	No	Soltero	0		500	1032,94	0	1	3	464	2	0	566,47	0,15	1132,94
24	Familiar	Masculino	No	Soltero	0			1569,48	0	1	54	957	2	0	900	0,24	1800
24	Familiar	Masculino	No	Soltero	0		264	1679,51	0	1	8	480	2	0	950	0,35	1900
25	Familiar	Masculino	No	Soltero	0	280	342	1515,68	0	1	31	36	2	0	800	0,22	1600
23	Familiar	Masculino	No	Soltero	0	360	900	1390,81	0	1	1	874	2	0	750	0,21	1500
26	Familiar	Masculino	No	Soltero	0			1680,76	0	1	6	723	2		950	0,27	1900
35	Familiar	Masculino	No	Soltero	0		360	1576,3	0	1	1	917	2		900	0,27	1800
23	Familiar	Masculino	No	Soltero	0			2049,63	0	1	5	879	2		1150	0,46	2300
24	Familiar	Masculino	No	Soltero	0		292	1388,93	0	1	31	733	2		750	0,28	1500
26	Familiar	Masculino	No	Soltero	0			1457,42	0	1	1	917	2		800	0,28	1600
27	Familiar	Masculino	No	Casado	1	360	541	1876,46	0	1	18	781	2		1050	0,32	2100
39	Familiar	Masculino	No	Soltero	0		566	4997,04	0	1	47	59	2		2700	0,42	5400
28	Familiar	Masculino	No	Soltero	0	360	2360	3422,03	0	1	34	326	2		1850	0,38	3700
40	Familiar	Masculino	No	Soltero	0			1704,95	0	1	28	120	2		1100	0,22	2200
35	Familiar	Masculino	No	Soltero	0		407	2206,07	0	1	35	587	2		1200	0,31	2400
32	Sin Info	Masculino	Sin Info	Casado	0		294	775,23	0	11	96	953	1		1000	0,23	1000
27	Familiar	Masculino	No	Soltero	0			1360,96	0	1	30	264	2		750	0,27	1500
23	Familiar	Masculino	No	Soltero	0		640	1957,31	0	1	46	9	2		1100	0,63	2200
27	Familiar	Masculino	No	Soltero	0	400	1000	1354,7	0	1	35	504	2		750	0,29	1500
24	Familiar	Masculino	No	Soltero	0			1335,89	0	1	4	879	2		750	0,31	1500
20	Familiar	Masculino	No	Soltero	0			1157,94	0	1	1	917	2		650	0,31	1300
24	Familiar	Masculino	No	Soltero	0		265	1313,13	0	1	5	879	2		700	0,35	1400
24	Familiar	Masculino	No	Soltero	0	600	1500	1336,1	0	1	5	247	2		750	0,27	1500
19	Familiar	Masculino	No	Soltero	0		292	1950,71	0	1	1	874	2		1100	0,3	2200
26	Familiar	Masculino	No	Soltero	0	760	1900	3239,09	0	1	42	913	2		1950	0,62	3900
27	Familiar	Masculino	No	Soltero	0	360	325	1188,84	0	1	29	547	2		650	0,17	1300
22	Familiar	Masculino	No	Soltero	0		301	1253,58	0	1	1	917	2		675	0,33	1350
